,Name,ETH Floor Price,USD Price,coins,total_eth,total_usd
0,Bears,0.0695,114.71531,,,
1,Bears,0.0695,114.71531,,,
2,Bears,0.0695,114.71531,,,
3,Bears,0.0695,114.71531,,,
4,Bears,0.0695,114.71531,,,
5,Bears,0.0695,114.71531,,,
6,Bears,0.0695,114.71531,,,
7,Bears,0.0695,114.71531,,,
8,Bears,0.0695,114.71531,,,
9,Bears,0.0695,114.71531,,,
10,Bears,0.0695,114.71531,,,
11,OG Bull,0.6698,1105.558484,,,
12,OG Bull,0.6698,1105.558484,,,
13,OG Bull,0.6698,1105.558484,,,
14,OG Bull,0.6698,1105.558484,,,
15,OG Bull,0.6698,1105.558484,,,
16,OG Bull,0.6698,1105.558484,,,
17,BOTB,0.165983,273.96822013999997,,,
18,BOTB,0.165983,273.96822013999997,,,
19,BOTB,0.165983,273.96822013999997,,,
20,BOTB,0.165983,273.96822013999997,,,
21,BOTB EVO,0.069,113.89002,,,
22,BOTB EVO,0.069,113.89002,,,
23,BOTB EVO,0.069,113.89002,,,
24,BOTB EVO,0.069,113.89002,,,
25,BOTB EVO,0.069,113.89002,,,
26,Elon,0.005,8.2529,,,
27,Elon,0.005,8.2529,,,
28,Elon,0.005,8.2529,,,
29,Elon,0.005,8.2529,,,
30,Teen Bull,0.165,272.3457,,,
31,Teen Bull,0.165,272.3457,,,
32,Teen Bull,0.165,272.3457,,,
33,Teen Bull,0.165,272.3457,,,
34,Teen Bull,0.165,272.3457,,,
35,Teen Bull,0.165,272.3457,,,
36,Teen Bull,0.165,272.3457,,,
37,Teen Bull,0.165,272.3457,,,
38,Methane,0.7457,1230.837506,,,
0,,,,MANA,0.036,58.68
1,,,,HBAR,0.072,118.79
2,,,,SAND,0.048,79.022
3,,,,FIL,0.074,122.859
4,,,,GRT,0.048,79.092
5,,,,OP,0.061,100.989
6,,,,APT,0.231,381.678
sum,,,,TOTAL,0.57,941.11
